,Name,Country,Industry,Market_Cap,CustPercRev,CustPerCost
64,Toppan Printing Co Lt,JP,Commercial & Professional Services,5930,0.0012,0.0174
83,Total Access Communi,TH,Telecommunication Services,5830,0.0008,0.0794
34,Avnet Inc,US,Technology Hardware & Equipment,5660,0.004,0.0278
93,Jarir Marketing Co,SA,Retailing,5390,0.0006,0.0771
94,Elisa OYJ,FI,Telecommunication Services,5350,0.0006,0.0569
88,Tele2 AB,SE,Telecommunication Services,5080,0.0007,0.0821
85,GameStop Corp,US,Retailing,4690,0.0007,0.0214
55,Freenet AG,DE,Telecommunication Services,4330,0.0016,0.0886
9,Ingram Micro Inc,US,Technology Hardware & Equipment,3930,0.0207,0.12
53,Yamada Denki Co Ltd,JP,Retailing,3870,0.0017,0.0174
41,GOME Electrical Applia,CN,Retailing,3540,0.0025,0.061
84,United States Cellular,US,Telecommunication Services,3210,0.0008,0.1171
73,Telephone & Data Sys,US,Telecommunication Services,3160,0.0011,0.0709
39,Dixons Retail PLC,GB,Retailing,3060,0.0027,0.0408
80,Jiangsu Hongtu High T,CN,Retailing,3030,0.0009,0.0658
78,Orange Polska SA,PL,Telecommunication Services,2900,0.001,0.0463
23,SYNNEX Corp,US,Technology Hardware & Equipment,2890,0.0064,0.0766
98,Sears Holdings Corp,US,Retailing,2740,0.0005,0.0063
77,XL Axiata Tbk PT,ID,Telecommunication Services,2200,0.001,0.0853
100,Bic Camera Inc,JP,Retailing,2170,0.0005,0.0118
12,Tech Data Corp,US,Technology Hardware & Equipment,2110,0.0154,0.16
97,SmarTone Telecommu,HK,Telecommunication Services,1850,0.0005,0.0902
44,Telling Telecommunic,CN,Technology Hardware & Equipment,1840,0.0023,0.075
63,Manitoba Telecom Ser,CA,Telecommunication Services,1740,0.0012,0.1459
76,JB Hi-Fi Ltd,AU,Retailing,1490,0.001,0.0771
99,Magyar Telekom Tele,HU,Telecommunication Services,1450,0.0005,0.0902
52,Digital China Holdings,HK,Technology Hardware & Equipment,1370,0.0018,0.0395
72,Insight Enterprises In,US,Technology Hardware & Equipment,1130,0.0011,0.0441
48,Redington India Ltd,IN,Technology Hardware & Equipment,637,0.0021,0.0771
62,Interpark Holdings Co,KR,Retailing,507,0.0012,0.0769
91,GLENTEL Inc,CA,Retailing,471,0.0006,0.0888
69,Esprinet SpA,IT,Technology Hardware & Equipment,417,0.0011,0.0771
82,AB SA,PL,Technology Hardware & Equipment,169,0.0008,0.0768
96,PCM Inc,US,Technology Hardware & Equipment,121,0.0005,0.0771
89,ASBISc Enterprises PL,CY,Technology Hardware & Equipment,16,0.0007,0.0766
87,RadioShack Corp,US,Retailing,6,0.0007,0.0687
68,NII Holdings Inc,US,Telecommunication Services,3,0.0012,0.0902
81,ECS Holdings Ltd,SG,Technology Hardware & Equipment,N/A,0.0009,0.042
14,Shenzhen Aisidi Co Lt,CN,Technology Hardware & Equipment,N/A,0.0132,0.3722
